39,22,21,16,47,41,48,63,41,128,15,27,13,5,20,13,34,7,23,10,5,19,9,5,10,42,24,20,13,10,8,4,1
23,64,18,16,30,12,2,4,48,7,7,14,23,4,4,15,12,8,19,4,5,5,4,9,2,6,6,1,2,0,1,1,1
9,8,11,4,12,9,6,21,4,2,12,16,22,11,14,30,5,19,11,8,28,15,2,1,8,7,4,4,1,1,0,0,1
4,9,19,2,5,38,33,6,4,46,6,5,6,41,34,26,11,23,5,1,4,16,45,7,14,8,3,1,0,1,2,2,1
8,7,9,13,11,16,18,5,13,2,3,5,32,16,11,4,6,3,1,3,2,6,9,5,1,2,4,4,2,0,0,1,1
7,7,12,18,27,21,20,20,4,23,27,20,2,1,6,6,9,2,8,1,5,14,23,6,24,8,1,7,9,4,3,5,1
5,8,9,4,6,13,28,49,14,46,6,33,39,14,14,16,18,5,4,0,2,23,10,2,5,4,2,3,5,3,1,2,0
9,11,5,22,3,14,14,16,16,2,3,10,13,8,11,21,14,10,44,16,7,27,22,20,21,5,2,4,3,13,2,1,2
17,39,35,16,4,3,19,2,5,13,28,8,16,9,31,17,19,12,13,10,5,4,4,4,8,0,10,4,1,2,7,4,0
16,15,28,6,2,2,5,15,23,26,18,24,17,10,5,15,25,11,16,29,15,31,22,15,3,1,4,11,5,10,11,6,1
5,3,7,21,3,1,13,53,21,13,39,30,18,7,28,7,24,30,5,34,14,14,13,12,10,2,0
9,9,7,27,9,7,8,27,34,32,9,19,3,10,12,21,11,6,15,7,2,4,4,3,16,7,2,2,1,5,3,1,0
5,8,6,61,6,7,8,27,12,5,11,10,11,5,1,24,7,3,25,3,7,7,12,3,3,5,3,4,14,8,2,0,1
6,4,6,7,6,11,4,6,31,18,8,12,12,15,46,19,20,30,19,29,11,5,10,5,0,1,2,1,0,2,2,1,0
6,4,9,11,13,31,16,23,16,17,5,11,32,10,24,25,17,4,13,5,10,23,8,12,10,2,9,10,3,1,2,3,0
9,13,31,2,2,22,20,24,6,42,43,14,3,27,18,35,31,33,37,6,5,17,14,7,10,13,4,0,6,2,1,1,1
10,8,6,7,11,8,13,18,21,18,5,5,8,19,31,5,5,9,11,5,14,30,3,2,14,19,3,7,7,2,0,0,1
10,7,11,5,22,32,16,21,4,10,23,16,14,11,15,1,5,20,4,18,21,23,16,31,26,4,7,12,2,1,2,5,1
10,6,7,20,14,2,18,12,5,5,14,29,20,14,8,16,9,8,11,17,31,20,5,22,5,10,11,11,2,3,2,3,1
10,9,6,8,15,17,7,23,4,5,11,27,16,22,6,3,10,1,20,6,4,4,11,3,1,6,4,11,5,3,1,0,1
18,6,21,5,25,11,1,0,3,16,10,13,3,20,17,16,2,3,19,18,3,5,21,9,13,10,4,3,5,1,1,1,0
3,2,8,8,8,14,5,26,6,12,12,4,16,4,15,11,3,14,8,1,1,2,2,4,6,1,0,3,2,1,0,0,1
3,18,5,2,7,5,28,19,11,11,18,4,2,18,21,3,8,8,3,7,5,7,3,7,7,9,3,1,1,1,2,0,1
9,7,5,8,17,20,3,3,4,21,16,8,18,43,31,25,26,26,29,10,2,2,4,7,3,7,9,7,1,0,2,1,0
10,14,9,11,25,28,16,5,23,6,29,31,20,10,2,37,10,4,4,4,3,3,3,2,3,1,2,2,2
11,9,6,2,3,13,6,14,30,15,1,1,22,5,0,1,11,18,9,34,20,10,3,6,10,8,5,4,2,0,1,0
10,5,8,2,3,15,14,4,7,12,8,13,15,24,40,13,4,7,5,15,6,9,5,9,18,3,5,5,1,4,2,2,0
18,6,4,1,4,6,30,14,11,2,4,5,4,7,22,13,21,2,9,8,5,10,3,8,9,4,2,2,3,2,1,1,0
17,13,2,2,3,3,8,27,33,23,6,5,26,9,7,2,18,8,2,12,5,8,8,12,22,1,0,2,3,4,4,1,0
6,14,5,2,25,36,4,25,14,9,8,6,17,13,23,11,25,15,12,26,3,1,51,5,19,17,2,5,5,5,2,1,1
5,4,16,19,7,5,2,5,6,10,13,6,4,7,10,24,36,29,12,12,3,8,0,2,1,1,1,1,0,1,0,0,0
12,11,20,3,13,32,10,4,20,34,25,48,11,28,25,11,10,7,11,7,3,2,16,10,5,1,2,1,0,0,1,0
7,25,28,6,13,21,21,4,42,21,13,23,36,20,24,22,19,16,12,17,2,2,5,2,2,1,1,0,1,0,1,1,0
11,12,5,17,10,16,8,2,12,25,39,28,23,28,22,27,38,32,29,18,5,6,10,3,4,5,2,4,3,1,1,2,0
5,21,3,3,4,8,3,2,9,7,7,8,14,16,14,24,49,37,14,10,12,17,12,8,4,2,7,4,3,0,0,2,0
10,6,12,5,11,7,19,7,5,3,10,4,3,22,17,23,23,1,7,12,21,22,7,9,15,4,1,4,6,2,0,1,0
10,9,5,5,17,12,11,6,4,37,11,3,34,7,12,18,13,12,21,34,15,1,4,7,17,6,13,3,5,10,2,2,0
5,8,9,6,9,16,7,24,18,16,33,47,11,3,2,20,9,11,17,5,2,2,5,7,8,6,3,5,2,0,0,1,0
16,14,6,5,7,3,3,7,30,18,5,13,17,10,25,20,9,8,17,8,4,6,3,2,13,5,1,2,5,3,1,0,1
6,7,6,8,15,5,20,10,7,2,7,3,30,33,6,59,23,9,7,11,8,5,8,8,2,0,4,1,1,1,0,0,1
10,7,3,11,7,1,15,7,5,22,17,13,14,24,27,12,5,39,26,13,27,37,14,2,1,7,2,4,0,0,1,0,0
4,2,8,5,21,14,14,15,16,8,8,22,23,7,8,19,12,8,14,23,12,7,4,7,11,8,11,6,7,7,1,2,0
4,3,6,5,10,12,19,30,3,3,7,10,16,20,28,8,13,1,3,2,4,2,4,6,6,15,2,1,4,2,1,1,0
10,7,10,14,5,20,16,10,8,34,20,16,3,3,5,21,5,5,6,9,19,4,11,12,6,2,3,3,10,2,1,2,0
8,13,3,10,4,3,4,37,7,6,14,33,10,25,28,19,29,22,24,8,9,7,13,2,1,4,3,2,3,5,3,1,0
10,12,18,22,7,6,4,6,9,15,13,15,16,19,3,1,14,12,23,13,8,43,11,8,11,9,3,1,1,0,1,0,0
6,12,1,3,12,6,1,27,4,2,2,10,4,2,1,1,15,31,15,12,2,3,12,11,3,2,7,3,0,1,1,0,0
5,11,7,29,3,6,7,12,6,10,9,9,6,6,7,9,38,37,13,28,10,4,5,7,10,1,0,1,2,2,0,2,0
3,8,4,2,6,37,20,16,9,2,10,57,3,23,28,35,3,6,7,33,54,30,18,14,13,12,10,2,5,2,2,1,1
2,12,5,13,11,9,4,1,6,26,15,19,20,15,8,6,13,20,9,4,4,7,8,13,7,19,4,3,5,2,0,4,1
17,12,29,30,19,5,57,119,21,43,96,41,31,16,8,17,105,21,8,21,24,3,8,14,18,1,1,3,1,0,1,1,1
7,14,9,9,74,102,11,8,18,5,19,37,10,20,18,39,27,4,7,10,18,6,2,2,2,3,1,2,2,1,1,0,1
9,11,4,3,4,7,14,7,16,14,2,1,21,6,3,9,26,9,7,21,16,2,3,4,6,10,5,0,1,0,1,0,1
9,9,25,3,10,13,9,9,10,13,18,32,15,21,18,11,8,4,6,17,7,2,19,7,4,4,8,6,0,1,0,1,0
